tag,type,sentence
매매결정,대표문장,"LG유플러스 14,500원에 보유중인데 매도해야 할까요?"
매매결정,유사문장,롯데 푸드 주식 살까요?
매매결정,유사문장,미코 매도해야 될까요??
매매결정,유사문장,인터플렉스 매도할지 고민되네요
매매결정,유사문장,파세코 지금 종가로 사도 될까요??
매매결정,유사문장,후성 물렸는데 팔아야할까요
종목분석,대표문장,현대공업 종목 분석 부탁해
종목분석,유사문장,셀바스ai 어떤가요?
종목분석,유사문장,LG유플러스 어떻게 보시나요?
종목분석,유사문장,탑엔지니어링 종목 진단 부탁드립니다
종목분석,유사문장,spc삼립 차트는 좋아보이는데 진단 부탁드립니다
종목분석,유사문장,투윈글로벌 종목 좀 봐주세요
매매평가,대표문장,국일신동 거래량은 적지만 남북 관련으로 해서 매수 했는데요 의견 듣고 싶어
매매평가,유사문장,엘비세미콘 오늘 종가에 담았어 조언 부탁해
매매평가,유사문장,어제 한국전력 31200원에 600주 매수했는데 잘한 짓일까요?
매매평가,유사문장,디바이스이엔지 나름 괜찮은 것 같아서 오늘 소액 입성했습니다 평가 해주세요.
매매평가,유사문장,에스맥 향후에 호재가 터진다는 지인 말 듣고 들어가긴 했는데요 앞으로 어떻게 보시는지
매매평가,유사문장,엘비세미콘 오늘 종가에 담았어 조언 부탁해
매매이유,대표문장,대북주 외국인 매수 이유가 뭔가요?
매매이유,유사문장,비에이치아이 왜 외국인은 계속 매수하는지 궁금하네요
매매이유,유사문장,피에스케이 외국계 매도가 왜 이리 많나요?
매매이유,유사문장,해덕파워웨이 순식간에 급락 하더니 외국인이 엄청 담았던데 이유가 뭘까요??
매매이유,유사문장,에스아이리스소스 기관이 3일째 들어오고 있는데 왜 그런가요
매매이유,유사문장,에스앤씨엔진그룹 무슨 호재가 있는 건가 외국인들이 왜 이렇게 사는 거죠?
등락원인,대표문장,cmg제약 갑자기 훅 떨어지는 이유가 있나요
등락원인,유사문장,세경하이테크 실적은 좋은데 왜 이렇게 많이 떨어질까요?
등락원인,유사문장,갑자기 필룩스 급상승하네요 원인이 뭐죠?
등락원인,유사문장,신화인터덱 실적이 잘나욌는데 왜 떨어지나요?
등락원인,유사문장,영우디에스피 왜 올라가는거죠?
등락원인,유사문장,칩스앤미디어 하락 이유가 뭔가요?
재료,대표문장,삼성제약cb전환 호재인가요 악재인가요?
재료,유사문장,대유위니아 어제 JP모간에서 매수를 많이 했는데 호재로 작용될까요?
재료,유사문장,신주인수권 발행하면 보통 주가가 오르나요??
재료,유사문장,코오롱생명과학 인보사 쇼크 주가에 얼마나 영향이 있을까요 걱정이네요
재료,유사문장,한국내화 자사주매도 어떻게 봐야할까요?
재료,유사문장,제가 얼마전 무증을 받기 위해 매수한 종목이 있는데 과연 무증을 받으면 주가가 오르나요?
종목추천,대표문장,중장기적인 투자가치가 있는 주식 추천부탁드립니다
종목추천,유사문장,하락장에는 어떤 종목에 투자해야되나요?
종목추천,유사문장,초보가 하기엔 코스피가 낫나요 코스닥이 낫나요?
종목추천,유사문장,보통 단타는 코스피랑 코스닥 중 어느 종목 위주로 투자하는게 좋을까요?
종목추천,유사문장,지금 사기 괜찮은 종목 있을까요?
종목추천,유사문장,"셀트리온 , 셀트리온제약 , 펄어비스 중 단기 말고 장기 6개월 이상 간다고 했을 때 지금 시점에서 매수해도 좋은것은?"
종목소개,대표문장,산소 관련 주 어떤 것들이 있을까요?!
종목소개,유사문장,대북주 시총 큰놈 중에 뭐가 대장일까요?
종목소개,유사문장,월드컵 테마주 뭐가 있을까요?
종목소개,유사문장,탄소섬유 관련주 대장주가 어디인가요?
종목소개,유사문장,4차산업으로 많은 내용들이 나오는데 종목으로 어떤것들이 있는지 말씀해주실 수 있으신가요?
종목소개,유사문장,"외인이 관리하는 종목, 기관이 관리하는 종목으로 나눠진 종목들이 있나요?"
종목전망,대표문장,SG&G의 앞으로 전망이 어떻게 될까요?
종목전망,유사문장,에어부산 향후 어찌될까요?
종목전망,유사문장,룽투코리아 높을 때 사서 지금 많이 내려간 상태인데 다시 반등을 할까요?
종목전망,유사문장,월요일에 미장이 소폭이라도 반등을 할까요?
종목전망,유사문장,만일 공화당이 하원도 이기면 우리나라 지수 어떻게 움직일까요?
종목전망,유사문장,차이나그레이트 8월 31일 이후 어떤 일이 벌어질까요?
매매타이밍,대표문장,삼성전기를 117000 정도에 매수했는데 언제 쯤 매도하는 게 좋을까요?
매매타이밍,유사문장,카카오 지금 하락하던데 들어가도 될까요?
매매타이밍,유사문장,삼성 투자하려 하는데 언제 투자하는게 젤 좋을까요?
매매타이밍,유사문장,"모나미, 신성통상에 소액 넣었는데 신성통장 수익 30%이고 모나미는 6% 지금 팔아야해요?"
매매타이밍,유사문장,스윙할 때 매도 타이밍 어떻게 잡아야 할까요?
매매타이밍,유사문장,"전기차 배터리, 신재생 에너지 무조건 장기투자하면 손해는 안볼거 같은데 지금 들어가야할까"
매매전략,대표문장,펄어비스 평단 186500원에 물렸는데 손절하고 나와야 할까요?
매매전략,유사문장,국영지앤엠평단 1570원에 12.45% 입니다. 물타기하고 손절할지 조금더 가져가볼지?
매매전략,유사문장,엠아이텍 평단 5400에 샀었다가 한 20퍼 꼬라박고 한달 버티니 복구됐는데 이제부턴 진짜 붙들고 있는게 좋을까요...?
매매전략,유사문장,엘지전자 7만원 후반대에 매수했는데 너무 떨어졌는데 기다릴까요
매매전략,유사문장,NHN한국사이버결제 물렸습니다 추매를 해서 빨리 탈출하고 싶은데 조언 좀 부탁드립니다
매매전략,유사문장,제가 주식을 만원에 샀는데 15000원이 됐는데 앞으로 좋은 회사가 될 것 같아 주식을 15000원에 추가로 매수하는게 좋은건가요
종목비교,대표문장,우리나라 주식이랑 외국 주식 중 어떤 게 더 좋아요?
종목비교,유사문장,네오텍트랑 디알젬 중 어느게 더 좋을까요?
종목비교,유사문장,대한항공과 제주항공 중 어떤 곳에 투자하는 게 더 좋아보인다고 생각하시나요?
종목비교,유사문장,GS리테일이랑 효성 엔벨 중 어떤 종목이 더 좋아보이나요?
종목비교,유사문장,급등주와 주도주의 차이는 무엇인가요?
종목비교,유사문장,"셀트리온, 셀트리온제약, 셀트리온 헬스케어 이 세가지가 어떻게 다른 건가요?"
종목정보,대표문장,오픈베이스 좋은 소식있나요?
종목정보,유사문장,엘앤케이바이오 거래정지 언제 풀리나요?
종목정보,유사문장,삼성전자 배당금은 언제 공시하나요?
종목정보,유사문장,어떤 특정 종목의 앞으로 나올 보호예수물량을 확인하려면 어디에서 확인할 수 있나요?
종목정보,유사문장,이엑스티 기업 실적 발표일이 언제인지요?
종목정보,유사문장,"알파홀딩스 반도체주 하락때문에 이렇게 빠지는건가요 아니면 필룩스, 바일러진 분쟁때문인가요"
매매동향,대표문장,"카카오 외인,기관 매집 중인 거 맞죠?"
매매동향,유사문장,다른 사람들은 어떤 경협주를 많이 샀어?
매매동향,유사문장,필옵틱스 누군가가 주가를 관리하는 느낌인데..  
매매동향,유사문장,장중 외인 기관 매수세를 알고싶습니다
매매동향,유사문장,한국전력 떨어져서 좀 사놨는데 자꾸 떨어져요 개미떨기 일까요?
매매동향,유사문장,선도전기 세력 이탈 안 한거지요?
차트질문,대표문장,db라이텍 차트 분석 부탁드립니다
차트질문,유사문장,유바이오로직스 지지선 체크 부탁드립니다
차트질문,유사문장,한화캐미칼 하한선 어디까지 보니?
차트질문,유사문장,한류AI센터 차트 분석으로 보면 하락 차트 인가요?
차트질문,유사문장,주식 차트 분석 중에 이평선이라든지 이격도 피보나치 수열 등등 여러 가지 분석이 있는데 어떤 걸 위주로 가장 중요하게 봐?
차트질문,유사문장,기아차요 차트 좀 봐주세요
멘탈,대표문장,옵티팩 암울하네요.
멘탈,유사문장,제이준 정말 답 없군.. 어찌 해야 할까?
멘탈,유사문장,프로스테믹스 한없이 빠지네요.
멘탈,유사문장,흥국석유에 넣었다가 갑자기 하락해서 많이 우울합니다
멘탈,유사문장,누가 좀 살려주세요! 어떻게 해야할지 답이 없어요.
멘탈,유사문장,인터불스 물렸어요. 명절 앞두고 잠이 안 와서 밤새웠어요.
투자,대표문장,스윙은 얼마정도 기간을 두고 이야기 하나요?
투자,유사문장,스윙은 단타보다 수익률이 더 클까요?
투자,유사문장,중장기 투자 조언 좀 해주세요
투자,유사문장,망하는 회사가 아니면 오르겠거니 하고 적금들어놔야 하나요?
투자,유사문장,단타는 주식을 매수하고 수익 조금이라도 나면 바로 매도하는건가요?
투자,유사문장,종목은 어떻게 선정하시는지요
금융용어,대표문장,공매도가 무엇인지 쉬운 설명 해주실분 있나요ㅠ
금융용어,유사문장,눌림에 대해 설명해주실 수 있나요?
금융용어,유사문장,종가상이탈이란말 뜻이 뭔가요?
금융용어,유사문장,유상증자에 관하여 시원하게 설명 좀 부탁드립니다.
금융용어,유사문장,주식가장매매가 무슨 뜻인지 설명 좀 부탁 드립니다.
금융용어,유사문장,주식 용어 중에 흔든다는 말이 무슨 뜻인가요?
거래,대표문장,매수했다가 취소해도 수수료 내나요?
거래,유사문장,장외주식 사는 방법 질문드립니다.
거래,유사문장,미수나 신용을 제한없이 쓸 수 있나요?
거래,유사문장,금요일에 매매하면 언제부터 수익금 인출 가능한가요?
거래,유사문장,금융소득 종합과세는 연 금융소득이 2000만원을 초과할때만 부과되는 건가요?
거래,유사문장,오늘 매수했다 매도한 경우 3일 뒤에 인출이 가능한가요?
